,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
del_t,18.81,8.89,2.74,35.47,0.11,0.09,6476.56,2644.64,1.0
del_f,0.06,0.02,0.02,0.09,0.0,0.0,2855.83,2460.57,1.0
delta_k,4.57,0.86,3.06,6.25,0.01,0.01,3832.33,2655.42,1.0
delta_h,3.71,0.75,2.44,5.2,0.01,0.01,4809.14,3376.22,1.0
z_C,0.08,0.02,0.04,0.11,0.0,0.0,4354.83,2659.29,1.0
mu_C,2.27,1.15,0.77,4.16,0.02,0.02,4708.29,1990.88,1.0
sigma_C,1.83,0.77,0.64,3.2,0.01,0.01,6311.03,2764.64,1.0
z_H,0.07,0.02,0.04,0.1,0.0,0.0,4912.59,2960.62,1.0
mu_H,2.29,1.04,0.81,4.07,0.02,0.01,6857.97,2556.48,1.0
sigma_H,1.84,0.8,0.58,3.26,0.01,0.01,7781.14,2661.92,1.0
z_ICU,0.07,0.02,0.04,0.1,0.0,0.0,5075.2,3020.62,1.0
mu_ICU,2.52,1.22,0.83,4.79,0.02,0.02,4690.96,2602.98,1.0
sigma_ICU,1.86,0.81,0.53,3.29,0.01,0.01,8719.15,2813.88,1.0
z_S,0.16,0.04,0.09,0.25,0.0,0.0,5505.2,2486.47,1.0
tau,1.65,2.15,0.03,4.76,0.04,0.03,6593.68,3058.47,1.0
sigma_model,0.25,0.04,0.19,0.33,0.0,0.0,3576.39,2838.17,1.0
k[0],0.76,0.14,0.51,1.04,0.0,0.0,3832.33,2655.42,1.0
k[1],0.76,0.14,0.51,1.04,0.0,0.0,3832.33,2655.42,1.0
k[2],0.76,0.14,0.51,1.04,0.0,0.0,3832.33,2655.42,1.0
k[3],0.76,0.14,0.51,1.04,0.0,0.0,3832.33,2655.42,1.0
k[4],0.74,0.14,0.5,1.01,0.0,0.0,3832.33,2655.42,1.0
k[5],0.74,0.14,0.5,1.01,0.0,0.0,3832.33,2655.42,1.0
k[6],0.74,0.14,0.5,1.01,0.0,0.0,3832.33,2655.42,1.0
k[7],0.74,0.14,0.5,1.01,0.0,0.0,3832.33,2655.42,1.0
k[8],0.74,0.14,0.5,1.01,0.0,0.0,3832.33,2655.42,1.0
k[9],0.58,0.11,0.39,0.79,0.0,0.0,3832.33,2655.42,1.0
k[10],0.58,0.11,0.39,0.79,0.0,0.0,3832.33,2655.42,1.0
k[11],0.58,0.11,0.39,0.79,0.0,0.0,3832.33,2655.42,1.0
k[12],0.58,0.11,0.39,0.79,0.0,0.0,3832.33,2655.42,1.0
k[13],0.44,0.08,0.29,0.6,0.0,0.0,3832.33,2655.42,1.0
k[14],0.44,0.08,0.29,0.6,0.0,0.0,3832.33,2655.42,1.0
k[15],0.44,0.08,0.29,0.6,0.0,0.0,3832.33,2655.42,1.0
k[16],0.44,0.08,0.29,0.6,0.0,0.0,3832.33,2655.42,1.0
k[17],0.34,0.06,0.23,0.46,0.0,0.0,3832.33,2655.42,1.0
k[18],0.34,0.06,0.23,0.46,0.0,0.0,3832.33,2655.42,1.0
k[19],0.34,0.06,0.23,0.46,0.0,0.0,3832.33,2655.42,1.0
k[20],0.34,0.06,0.23,0.46,0.0,0.0,3832.33,2655.42,1.0
k[21],0.34,0.06,0.23,0.46,0.0,0.0,3832.33,2655.42,1.0
k[22],0.29,0.05,0.19,0.39,0.0,0.0,3832.33,2655.42,1.0
k[23],0.29,0.05,0.19,0.39,0.0,0.0,3832.33,2655.42,1.0
k[24],0.29,0.05,0.19,0.39,0.0,0.0,3832.33,2655.42,1.0
k[25],0.29,0.05,0.19,0.39,0.0,0.0,3832.33,2655.42,1.0
k[26],0.26,0.05,0.17,0.35,0.0,0.0,3832.33,2655.42,1.0
k[27],0.26,0.05,0.17,0.35,0.0,0.0,3832.33,2655.42,1.0
k[28],0.26,0.05,0.17,0.35,0.0,0.0,3832.33,2655.42,1.0
k[29],0.26,0.05,0.17,0.35,0.0,0.0,3832.33,2655.42,1.0
k[30],0.3,0.06,0.2,0.41,0.0,0.0,3832.33,2655.42,1.0
k[31],0.3,0.06,0.2,0.41,0.0,0.0,3832.33,2655.42,1.0
k[32],0.3,0.06,0.2,0.41,0.0,0.0,3832.33,2655.42,1.0
k[33],0.3,0.06,0.2,0.41,0.0,0.0,3832.33,2655.42,1.0
k[34],0.3,0.06,0.2,0.41,0.0,0.0,3832.33,2655.42,1.0
k[35],0.34,0.06,0.23,0.47,0.0,0.0,3832.33,2655.42,1.0
k[36],0.34,0.06,0.23,0.47,0.0,0.0,3832.33,2655.42,1.0
h[0],0.34,0.07,0.22,0.47,0.0,0.0,4809.14,3376.22,1.0
h[1],0.34,0.07,0.22,0.47,0.0,0.0,4809.14,3376.22,1.0
h[2],0.34,0.07,0.22,0.47,0.0,0.0,4809.14,3376.22,1.0
h[3],0.34,0.07,0.22,0.47,0.0,0.0,4809.14,3376.22,1.0
h[4],0.27,0.05,0.18,0.37,0.0,0.0,4809.14,3376.22,1.0
h[5],0.27,0.05,0.18,0.37,0.0,0.0,4809.14,3376.22,1.0
h[6],0.27,0.05,0.18,0.37,0.0,0.0,4809.14,3376.22,1.0
h[7],0.27,0.05,0.18,0.37,0.0,0.0,4809.14,3376.22,1.0
h[8],0.27,0.05,0.18,0.37,0.0,0.0,4809.14,3376.22,1.0
h[9],0.01,0.0,0.01,0.02,0.0,0.0,4809.14,3376.22,1.0
h[10],0.01,0.0,0.01,0.02,0.0,0.0,4809.14,3376.22,1.0
