,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
del_t,18.79,8.86,1.35,34.71,0.13,0.11,4451.78,2182.57,1.0
del_f,0.06,0.02,0.02,0.1,0.0,0.0,1885.01,1780.42,1.0
delta_k,4.58,0.87,2.93,6.13,0.02,0.01,3204.97,2845.06,1.0
delta_h,3.73,0.73,2.43,5.13,0.01,0.01,3727.41,2876.8,1.0
z_C,0.12,0.03,0.07,0.17,0.0,0.0,1719.29,1042.28,1.0
mu_C,2.39,1.53,0.7,4.91,0.06,0.05,1565.14,470.28,1.0
sigma_C,1.94,0.83,0.72,3.55,0.01,0.01,5126.34,2883.04,1.0
z_ICU,0.11,0.03,0.06,0.15,0.0,0.0,3724.17,2717.47,1.0
mu_ICU,2.5,1.24,0.74,4.78,0.02,0.02,3785.62,2547.05,1.0
sigma_ICU,2.02,0.91,0.69,3.67,0.01,0.01,5197.15,2920.93,1.0
z_S,0.17,0.05,0.09,0.26,0.0,0.0,3559.54,2258.32,1.0
tau,1.69,2.28,0.02,4.96,0.04,0.03,4799.65,2595.04,1.0
sigma_model,0.26,0.04,0.19,0.34,0.0,0.0,2853.83,2973.16,1.0
k[0],0.76,0.14,0.49,1.02,0.0,0.0,3204.97,2845.06,1.0
k[1],0.76,0.14,0.49,1.02,0.0,0.0,3204.97,2845.06,1.0
k[2],0.76,0.14,0.49,1.02,0.0,0.0,3204.97,2845.06,1.0
k[3],0.76,0.14,0.49,1.02,0.0,0.0,3204.97,2845.06,1.0
k[4],0.74,0.14,0.48,0.99,0.0,0.0,3204.97,2845.06,1.0
k[5],0.74,0.14,0.48,0.99,0.0,0.0,3204.97,2845.06,1.0
k[6],0.74,0.14,0.48,0.99,0.0,0.0,3204.97,2845.06,1.0
k[7],0.74,0.14,0.48,0.99,0.0,0.0,3204.97,2845.06,1.0
k[8],0.74,0.14,0.48,0.99,0.0,0.0,3204.97,2845.06,1.0
k[9],0.58,0.11,0.37,0.78,0.0,0.0,3204.97,2845.06,1.0
k[10],0.58,0.11,0.37,0.78,0.0,0.0,3204.97,2845.06,1.0
