,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
del_t,18.8,9.28,2.29,36.8,0.14,0.11,4732.79,2629.38,1.0
del_f,0.03,0.02,-0.0,0.07,0.0,0.0,2180.66,2208.19,1.0
delta_k,4.61,0.85,2.98,6.15,0.02,0.01,2630.94,2475.41,1.0
delta_h,3.66,0.73,2.37,5.1,0.01,0.01,2919.09,2460.89,1.0
z_H,0.16,0.03,0.11,0.22,0.0,0.0,2593.62,2496.82,1.0
mu_H,2.22,0.85,0.82,3.8,0.01,0.01,4419.01,2397.25,1.0
sigma_H,2.17,0.92,0.73,3.92,0.01,0.01,4099.6,3151.04,1.0
z_S,0.15,0.04,0.09,0.22,0.0,0.0,4154.58,2833.95,1.0
tau,1.63,2.04,0.03,4.6,0.04,0.03,4540.23,2771.14,1.0
sigma_model,0.22,0.03,0.16,0.29,0.0,0.0,3174.17,2670.57,1.0
k[0],0.76,0.14,0.49,1.02,0.0,0.0,2630.94,2475.41,1.0
k[1],0.76,0.14,0.49,1.02,0.0,0.0,2630.94,2475.41,1.0
k[2],0.76,0.14,0.49,1.02,0.0,0.0,2630.94,2475.41,1.0
k[3],0.76,0.14,0.49,1.02,0.0,0.0,2630.94,2475.41,1.0
k[4],0.75,0.14,0.48,1.0,0.0,0.0,2630.94,2475.41,1.0
k[5],0.75,0.14,0.48,1.0,0.0,0.0,2630.94,2475.41,1.0
k[6],0.75,0.14,0.48,1.0,0.0,0.0,2630.94,2475.41,1.0
k[7],0.75,0.14,0.48,1.0,0.0,0.0,2630.94,2475.41,1.0
k[8],0.75,0.14,0.48,1.0,0.0,0.0,2630.94,2475.41,1.0
k[9],0.59,0.11,0.38,0.78,0.0,0.0,2630.94,2475.41,1.0
k[10],0.59,0.11,0.38,0.78,0.0,0.0,2630.94,2475.41,1.0
k[11],0.59,0.11,0.38,0.78,0.0,0.0,2630.94,2475.41,1.0
k[12],0.59,0.11,0.38,0.78,0.0,0.0,2630.94,2475.41,1.0
k[13],0.44,0.08,0.29,0.59,0.0,0.0,2630.94,2475.41,1.0
k[14],0.44,0.08,0.29,0.59,0.0,0.0,2630.94,2475.41,1.0
k[15],0.44,0.08,0.29,0.59,0.0,0.0,2630.94,2475.41,1.0
k[16],0.44,0.08,0.29,0.59,0.0,0.0,2630.94,2475.41,1.0
k[17],0.34,0.06,0.22,0.46,0.0,0.0,2630.94,2475.41,1.0
k[18],0.34,0.06,0.22,0.46,0.0,0.0,2630.94,2475.41,1.0
k[19],0.34,0.06,0.22,0.46,0.0,0.0,2630.94,2475.41,1.0
k[20],0.34,0.06,0.22,0.46,0.0,0.0,2630.94,2475.41,1.0
k[21],0.34,0.06,0.22,0.46,0.0,0.0,2630.94,2475.41,1.0
k[22],0.29,0.05,0.19,0.39,0.0,0.0,2630.94,2475.41,1.0
k[23],0.29,0.05,0.19,0.39,0.0,0.0,2630.94,2475.41,1.0
k[24],0.29,0.05,0.19,0.39,0.0,0.0,2630.94,2475.41,1.0
k[25],0.29,0.05,0.19,0.39,0.0,0.0,2630.94,2475.41,1.0
k[26],0.26,0.05,0.17,0.34,0.0,0.0,2630.94,2475.41,1.0
k[27],0.26,0.05,0.17,0.34,0.0,0.0,2630.94,2475.41,1.0
