,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
del_t,18.7,9.07,1.19,35.16,0.13,0.1,4998.01,2684.79,1.0
del_f,0.05,0.02,0.01,0.09,0.0,0.0,2333.46,1851.35,1.0
delta_k,4.25,0.82,2.75,5.82,0.01,0.01,3999.45,2933.48,1.0
delta_h,3.51,0.69,2.29,4.83,0.01,0.01,4489.63,2865.76,1.0
z_H,0.11,0.03,0.06,0.16,0.0,0.0,2963.95,2425.28,1.0
mu_H,2.17,0.94,0.84,3.89,0.02,0.01,4974.71,2490.72,1.0
sigma_H,2.0,0.91,0.66,3.66,0.01,0.01,6060.24,2772.25,1.0
z_ICU,0.1,0.02,0.06,0.15,0.0,0.0,3738.19,2699.76,1.0
mu_ICU,2.62,1.36,0.8,5.21,0.03,0.02,3245.42,2191.23,1.0
sigma_ICU,1.96,0.84,0.71,3.52,0.01,0.01,4741.29,2740.72,1.0
z_S,0.16,0.04,0.09,0.25,0.0,0.0,5129.94,3035.36,1.0
tau,1.77,2.54,0.03,5.26,0.05,0.03,5407.9,2498.04,1.0
sigma_model,0.25,0.04,0.18,0.33,0.0,0.0,2995.85,2321.46,1.0
k[0],0.71,0.14,0.46,0.97,0.0,0.0,3999.45,2933.48,1.0
k[1],0.71,0.14,0.46,0.97,0.0,0.0,3999.45,2933.48,1.0
k[2],0.71,0.14,0.46,0.97,0.0,0.0,3999.45,2933.48,1.0
k[3],0.71,0.14,0.46,0.97,0.0,0.0,3999.45,2933.48,1.0
k[4],0.69,0.13,0.45,0.94,0.0,0.0,3999.45,2933.48,1.0
k[5],0.69,0.13,0.45,0.94,0.0,0.0,3999.45,2933.48,1.0
k[6],0.69,0.13,0.45,0.94,0.0,0.0,3999.45,2933.48,1.0
k[7],0.69,0.13,0.45,0.94,0.0,0.0,3999.45,2933.48,1.0
k[8],0.69,0.13,0.45,0.94,0.0,0.0,3999.45,2933.48,1.0
k[9],0.54,0.1,0.35,0.74,0.0,0.0,3999.45,2933.48,1.0
k[10],0.54,0.1,0.35,0.74,0.0,0.0,3999.45,2933.48,1.0
k[11],0.54,0.1,0.35,0.74,0.0,0.0,3999.45,2933.48,1.0
k[12],0.54,0.1,0.35,0.74,0.0,0.0,3999.45,2933.48,1.0
k[13],0.41,0.08,0.26,0.56,0.0,0.0,3999.45,2933.48,1.0
