,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
del_t,18.74,9.21,0.39,35.01,0.11,0.09,6589.65,3014.85,1.0
del_f,0.02,0.02,-0.01,0.05,0.0,0.0,2273.7,2359.35,1.0
delta_k,4.08,0.77,2.65,5.49,0.01,0.01,3166.6,2743.23,1.0
delta_h,3.5,0.69,2.29,4.82,0.01,0.01,3715.51,2837.56,1.0
z_ICU,0.15,0.03,0.1,0.21,0.0,0.0,2432.84,2515.69,1.0
mu_ICU,1.93,0.64,0.81,3.08,0.01,0.01,4248.11,2688.36,1.0
sigma_ICU,2.03,0.85,0.73,3.64,0.02,0.01,3374.85,2669.86,1.0
z_S,0.17,0.04,0.09,0.25,0.0,0.0,4903.03,2944.76,1.0
tau,1.68,2.25,0.06,5.01,0.04,0.03,6623.78,2630.68,1.0
sigma_model,0.23,0.03,0.17,0.29,0.0,0.0,3409.03,3018.15,1.0
k[0],0.68,0.13,0.44,0.91,0.0,0.0,3166.6,2743.23,1.0
k[1],0.68,0.13,0.44,0.91,0.0,0.0,3166.6,2743.23,1.0
k[2],0.68,0.13,0.44,0.91,0.0,0.0,3166.6,2743.23,1.0
k[3],0.68,0.13,0.44,0.91,0.0,0.0,3166.6,2743.23,1.0
k[4],0.66,0.12,0.43,0.89,0.0,0.0,3166.6,2743.23,1.0
k[5],0.66,0.12,0.43,0.89,0.0,0.0,3166.6,2743.23,1.0
k[6],0.66,0.12,0.43,0.89,0.0,0.0,3166.6,2743.23,1.0
k[7],0.66,0.12,0.43,0.89,0.0,0.0,3166.6,2743.23,1.0
k[8],0.66,0.12,0.43,0.89,0.0,0.0,3166.6,2743.23,1.0
k[9],0.52,0.1,0.34,0.7,0.0,0.0,3166.6,2743.23,1.0
k[10],0.52,0.1,0.34,0.7,0.0,0.0,3166.6,2743.23,1.0
k[11],0.52,0.1,0.34,0.7,0.0,0.0,3166.6,2743.23,1.0
k[12],0.52,0.1,0.34,0.7,0.0,0.0,3166.6,2743.23,1.0
k[13],0.39,0.07,0.25,0.53,0.0,0.0,3166.6,2743.23,1.0
k[14],0.39,0.07,0.25,0.53,0.0,0.0,3166.6,2743.23,1.0
k[15],0.39,0.07,0.25,0.53,0.0,0.0,3166.6,2743.23,1.0
k[16],0.39,0.07,0.25,0.53,0.0,0.0,3166.6,2743.23,1.0
