,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
del_t,19.47,8.55,3.56,35.11,0.15,0.12,3319.74,2631.27,1.0
del_f,0.1,0.04,0.04,0.17,0.0,0.0,1965.13,1908.22,1.0
delta_k,5.53,0.99,3.75,7.4,0.02,0.01,2739.15,2728.85,1.0
delta_h,4.6,0.89,3.02,6.35,0.02,0.01,3033.21,2619.48,1.0
z_R,0.27,0.06,0.17,0.38,0.0,0.0,2076.88,2238.8,1.0
mu_R,2.31,0.73,1.0,3.64,0.02,0.01,2224.5,1937.0,1.0
sigma_R,2.23,0.85,0.8,3.8,0.02,0.01,2890.18,3049.62,1.0
z_S,0.17,0.05,0.08,0.25,0.0,0.0,2991.64,2230.78,1.0
tau,1.67,2.15,0.05,4.64,0.04,0.03,3766.95,2787.87,1.0
sigma_model,0.24,0.04,0.17,0.3,0.0,0.0,2717.98,2846.22,1.0
k[0],0.92,0.16,0.62,1.23,0.0,0.0,2739.15,2728.85,1.0
k[1],0.92,0.16,0.62,1.23,0.0,0.0,2739.15,2728.85,1.0
k[2],0.92,0.16,0.62,1.23,0.0,0.0,2739.15,2728.85,1.0
k[3],0.92,0.16,0.62,1.23,0.0,0.0,2739.15,2728.85,1.0
k[4],0.9,0.16,0.61,1.2,0.0,0.0,2739.15,2728.85,1.0
k[5],0.9,0.16,0.61,1.2,0.0,0.0,2739.15,2728.85,1.0
k[6],0.9,0.16,0.61,1.2,0.0,0.0,2739.15,2728.85,1.0
k[7],0.9,0.16,0.61,1.2,0.0,0.0,2739.15,2728.85,1.0
k[8],0.9,0.16,0.61,1.2,0.0,0.0,2739.15,2728.85,1.0
k[9],0.7,0.13,0.48,0.94,0.0,0.0,2739.15,2728.85,1.0
k[10],0.7,0.13,0.48,0.94,0.0,0.0,2739.15,2728.85,1.0
k[11],0.7,0.13,0.48,0.94,0.0,0.0,2739.15,2728.85,1.0
k[12],0.7,0.13,0.48,0.94,0.0,0.0,2739.15,2728.85,1.0
k[13],0.53,0.1,0.36,0.71,0.0,0.0,2739.15,2728.85,1.0
k[14],0.53,0.1,0.36,0.71,0.0,0.0,2739.15,2728.85,1.0
k[15],0.53,0.1,0.36,0.71,0.0,0.0,2739.15,2728.85,1.0
k[16],0.53,0.1,0.36,0.71,0.0,0.0,2739.15,2728.85,1.0
k[17],0.41,0.07,0.28,0.55,0.0,0.0,2739.15,2728.85,1.0
k[18],0.41,0.07,0.28,0.55,0.0,0.0,2739.15,2728.85,1.0
k[19],0.41,0.07,0.28,0.55,0.0,0.0,2739.15,2728.85,1.0
k[20],0.41,0.07,0.28,0.55,0.0,0.0,2739.15,2728.85,1.0
k[21],0.41,0.07,0.28,0.55,0.0,0.0,2739.15,2728.85,1.0
