,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
del_t,19.21,8.57,2.71,34.0,0.14,0.1,3920.25,2663.28,1.0
del_f,0.12,0.03,0.06,0.18,0.0,0.0,1846.66,2000.2,1.0
delta_k,5.77,1.0,4.02,7.76,0.02,0.01,2472.17,2751.87,1.0
delta_h,4.29,0.87,2.71,5.91,0.02,0.01,2730.61,2369.26,1.0
z_R,0.18,0.04,0.1,0.26,0.0,0.0,2455.76,2428.71,1.0
mu_R,2.14,0.6,1.02,3.19,0.01,0.01,3251.34,2443.02,1.0
sigma_R,1.63,0.68,0.52,2.85,0.01,0.01,3461.4,2540.26,1.0
z_C,0.13,0.03,0.08,0.19,0.0,0.0,2665.97,2363.19,1.0
mu_C,2.4,1.01,0.85,4.29,0.02,0.01,3387.89,2830.67,1.0
sigma_C,1.87,0.79,0.65,3.31,0.01,0.01,3439.18,2441.67,1.0
z_S,0.15,0.04,0.08,0.23,0.0,0.0,3092.26,1822.93,1.0
tau,1.66,2.08,0.02,4.84,0.04,0.03,3451.21,1791.0,1.0
sigma_model,0.23,0.03,0.17,0.3,0.0,0.0,2323.04,1967.03,1.0
k[0],0.96,0.17,0.67,1.29,0.0,0.0,2472.17,2751.87,1.0
k[1],0.96,0.17,0.67,1.29,0.0,0.0,2472.17,2751.87,1.0
k[2],0.96,0.17,0.67,1.29,0.0,0.0,2472.17,2751.87,1.0
k[3],0.96,0.17,0.67,1.29,0.0,0.0,2472.17,2751.87,1.0
k[4],0.93,0.16,0.65,1.26,0.0,0.0,2472.17,2751.87,1.0
k[5],0.93,0.16,0.65,1.26,0.0,0.0,2472.17,2751.87,1.0
k[6],0.93,0.16,0.65,1.26,0.0,0.0,2472.17,2751.87,1.0
k[7],0.93,0.16,0.65,1.26,0.0,0.0,2472.17,2751.87,1.0
k[8],0.93,0.16,0.65,1.26,0.0,0.0,2472.17,2751.87,1.0
k[9],0.73,0.13,0.51,0.98,0.0,0.0,2472.17,2751.87,1.0
k[10],0.73,0.13,0.51,0.98,0.0,0.0,2472.17,2751.87,1.0
k[11],0.73,0.13,0.51,0.98,0.0,0.0,2472.17,2751.87,1.0
k[12],0.73,0.13,0.51,0.98,0.0,0.0,2472.17,2751.87,1.0
k[13],0.55,0.1,0.39,0.74,0.0,0.0,2472.17,2751.87,1.0
k[14],0.55,0.1,0.39,0.74,0.0,0.0,2472.17,2751.87,1.0
k[15],0.55,0.1,0.39,0.74,0.0,0.0,2472.17,2751.87,1.0
k[16],0.55,0.1,0.39,0.74,0.0,0.0,2472.17,2751.87,1.0
k[17],0.43,0.07,0.3,0.57,0.0,0.0,2472.17,2751.87,1.0
k[18],0.43,0.07,0.3,0.57,0.0,0.0,2472.17,2751.87,1.0
k[19],0.43,0.07,0.3,0.57,0.0,0.0,2472.17,2751.87,1.0
k[20],0.43,0.07,0.3,0.57,0.0,0.0,2472.17,2751.87,1.0
k[21],0.43,0.07,0.3,0.57,0.0,0.0,2472.17,2751.87,1.0
k[22],0.36,0.06,0.25,0.49,0.0,0.0,2472.17,2751.87,1.0
k[23],0.36,0.06,0.25,0.49,0.0,0.0,2472.17,2751.87,1.0
k[24],0.36,0.06,0.25,0.49,0.0,0.0,2472.17,2751.87,1.0
k[25],0.36,0.06,0.25,0.49,0.0,0.0,2472.17,2751.87,1.0
k[26],0.32,0.06,0.23,0.43,0.0,0.0,2472.17,2751.87,1.0
k[27],0.32,0.06,0.23,0.43,0.0,0.0,2472.17,2751.87,1.0
k[28],0.32,0.06,0.23,0.43,0.0,0.0,2472.17,2751.87,1.0
k[29],0.32,0.06,0.23,0.43,0.0,0.0,2472.17,2751.87,1.0
k[30],0.38,0.07,0.27,0.51,0.0,0.0,2472.17,2751.87,1.0
k[31],0.38,0.07,0.27,0.51,0.0,0.0,2472.17,2751.87,1.0
k[32],0.38,0.07,0.27,0.51,0.0,0.0,2472.17,2751.87,1.0
k[33],0.38,0.07,0.27,0.51,0.0,0.0,2472.17,2751.87,1.0
k[34],0.38,0.07,0.27,0.51,0.0,0.0,2472.17,2751.87,1.0
k[35],0.43,0.08,0.3,0.58,0.0,0.0,2472.17,2751.87,1.0
k[36],0.43,0.08,0.3,0.58,0.0,0.0,2472.17,2751.87,1.0
h[0],0.39,0.08,0.25,0.54,0.0,0.0,2730.61,2369.26,1.0
h[1],0.39,0.08,0.25,0.54,0.0,0.0,2730.61,2369.26,1.0
h[2],0.39,0.08,0.25,0.54,0.0,0.0,2730.61,2369.26,1.0
h[3],0.39,0.08,0.25,0.54,0.0,0.0,2730.61,2369.26,1.0
