,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
del_t,18.95,8.44,2.72,34.35,0.13,0.1,4153.06,3191.75,1.0
del_f,0.1,0.03,0.05,0.15,0.0,0.0,1642.12,2065.02,1.0
delta_k,5.3,0.95,3.55,7.08,0.02,0.01,2513.56,2602.27,1.0
delta_h,4.01,0.8,2.61,5.51,0.01,0.01,3053.44,2220.21,1.0
z_R,0.12,0.03,0.06,0.18,0.0,0.0,2297.29,2299.82,1.0
mu_R,2.17,0.62,1.06,3.33,0.01,0.01,3353.72,2857.5,1.0
sigma_R,1.48,0.6,0.52,2.55,0.01,0.01,4321.0,3163.88,1.0
z_C,0.08,0.02,0.05,0.12,0.0,0.0,2558.87,2455.12,1.0
mu_C,2.31,1.02,0.9,4.19,0.02,0.01,3768.67,2360.86,1.0
sigma_C,1.8,0.76,0.55,3.21,0.01,0.01,4021.6,2554.32,1.0
z_H,0.08,0.02,0.04,0.12,0.0,0.0,3349.09,2801.71,1.0
mu_H,2.7,1.13,0.98,4.77,0.02,0.02,3137.35,2984.98,1.0
sigma_H,1.73,0.74,0.6,3.14,0.01,0.01,3296.6,2968.64,1.0
z_S,0.15,0.04,0.08,0.23,0.0,0.0,3364.55,2859.49,1.0
tau,1.68,2.23,0.02,4.85,0.04,0.03,3594.56,2645.75,1.0
sigma_model,0.22,0.03,0.17,0.29,0.0,0.0,2666.59,2673.38,1.0
k[0],0.88,0.16,0.59,1.18,0.0,0.0,2513.56,2602.27,1.0
k[1],0.88,0.16,0.59,1.18,0.0,0.0,2513.56,2602.27,1.0
k[2],0.88,0.16,0.59,1.18,0.0,0.0,2513.56,2602.27,1.0
k[3],0.88,0.16,0.59,1.18,0.0,0.0,2513.56,2602.27,1.0
k[4],0.86,0.15,0.58,1.15,0.0,0.0,2513.56,2602.27,1.0
k[5],0.86,0.15,0.58,1.15,0.0,0.0,2513.56,2602.27,1.0
k[6],0.86,0.15,0.58,1.15,0.0,0.0,2513.56,2602.27,1.0
k[7],0.86,0.15,0.58,1.15,0.0,0.0,2513.56,2602.27,1.0
k[8],0.86,0.15,0.58,1.15,0.0,0.0,2513.56,2602.27,1.0
k[9],0.67,0.12,0.45,0.9,0.0,0.0,2513.56,2602.27,1.0
k[10],0.67,0.12,0.45,0.9,0.0,0.0,2513.56,2602.27,1.0
k[11],0.67,0.12,0.45,0.9,0.0,0.0,2513.56,2602.27,1.0
k[12],0.67,0.12,0.45,0.9,0.0,0.0,2513.56,2602.27,1.0
k[13],0.51,0.09,0.34,0.68,0.0,0.0,2513.56,2602.27,1.0
k[14],0.51,0.09,0.34,0.68,0.0,0.0,2513.56,2602.27,1.0
k[15],0.51,0.09,0.34,0.68,0.0,0.0,2513.56,2602.27,1.0
k[16],0.51,0.09,0.34,0.68,0.0,0.0,2513.56,2602.27,1.0
k[17],0.39,0.07,0.26,0.52,0.0,0.0,2513.56,2602.27,1.0
k[18],0.39,0.07,0.26,0.52,0.0,0.0,2513.56,2602.27,1.0
k[19],0.39,0.07,0.26,0.52,0.0,0.0,2513.56,2602.27,1.0
k[20],0.39,0.07,0.26,0.52,0.0,0.0,2513.56,2602.27,1.0
k[21],0.39,0.07,0.26,0.52,0.0,0.0,2513.56,2602.27,1.0
k[22],0.33,0.06,0.22,0.45,0.0,0.0,2513.56,2602.27,1.0
k[23],0.33,0.06,0.22,0.45,0.0,0.0,2513.56,2602.27,1.0
k[24],0.33,0.06,0.22,0.45,0.0,0.0,2513.56,2602.27,1.0
k[25],0.33,0.06,0.22,0.45,0.0,0.0,2513.56,2602.27,1.0
k[26],0.3,0.05,0.2,0.4,0.0,0.0,2513.56,2602.27,1.0
k[27],0.3,0.05,0.2,0.4,0.0,0.0,2513.56,2602.27,1.0
k[28],0.3,0.05,0.2,0.4,0.0,0.0,2513.56,2602.27,1.0
k[29],0.3,0.05,0.2,0.4,0.0,0.0,2513.56,2602.27,1.0
k[30],0.35,0.06,0.23,0.47,0.0,0.0,2513.56,2602.27,1.0
k[31],0.35,0.06,0.23,0.47,0.0,0.0,2513.56,2602.27,1.0
k[32],0.35,0.06,0.23,0.47,0.0,0.0,2513.56,2602.27,1.0
k[33],0.35,0.06,0.23,0.47,0.0,0.0,2513.56,2602.27,1.0
k[34],0.35,0.06,0.23,0.47,0.0,0.0,2513.56,2602.27,1.0
k[35],0.4,0.07,0.27,0.53,0.0,0.0,2513.56,2602.27,1.0
k[36],0.4,0.07,0.27,0.53,0.0,0.0,2513.56,2602.27,1.0
h[0],0.36,0.07,0.24,0.5,0.0,0.0,3053.44,2220.21,1.0
h[1],0.36,0.07,0.24,0.5,0.0,0.0,3053.44,2220.21,1.0
h[2],0.36,0.07,0.24,0.5,0.0,0.0,3053.44,2220.21,1.0
h[3],0.36,0.07,0.24,0.5,0.0,0.0,3053.44,2220.21,1.0
h[4],0.29,0.06,0.19,0.4,0.0,0.0,3053.44,2220.21,1.0
h[5],0.29,0.06,0.19,0.4,0.0,0.0,3053.44,2220.21,1.0
h[6],0.29,0.06,0.19,0.4,0.0,0.0,3053.44,2220.21,1.0
h[7],0.29,0.06,0.19,0.4,0.0,0.0,3053.44,2220.21,1.0
h[8],0.29,0.06,0.19,0.4,0.0,0.0,3053.44,2220.21,1.0
h[9],0.01,0.0,0.01,0.02,0.0,0.0,3053.44,2220.21,1.0
h[10],0.01,0.0,0.01,0.02,0.0,0.0,3053.44,2220.21,1.0
h[11],0.01,0.0,0.01,0.02,0.0,0.0,3053.44,2220.21,1.0
h[12],0.01,0.0,0.01,0.02,0.0,0.0,3053.44,2220.21,1.0
h[13],-0.18,0.04,-0.25,-0.12,0.0,0.0,3053.44,2220.21,1.0
h[14],-0.18,0.04,-0.25,-0.12,0.0,0.0,3053.44,2220.21,1.0
h[15],-0.18,0.04,-0.25,-0.12,0.0,0.0,3053.44,2220.21,1.0
h[16],-0.18,0.04,-0.25,-0.12,0.0,0.0,3053.44,2220.21,1.0
h[17],-0.06,0.01,-0.08,-0.04,0.0,0.0,3053.44,2220.21,1.0
h[18],-0.06,0.01,-0.08,-0.04,0.0,0.0,3053.44,2220.21,1.0
h[19],-0.06,0.01,-0.08,-0.04,0.0,0.0,3053.44,2220.21,1.0
h[20],-0.06,0.01,-0.08,-0.04,0.0,0.0,3053.44,2220.21,1.0
h[21],-0.06,0.01,-0.08,-0.04,0.0,0.0,3053.44,2220.21,1.0
h[22],-0.23,0.05,-0.31,-0.15,0.0,0.0,3053.44,2220.21,1.0
h[23],-0.23,0.05,-0.31,-0.15,0.0,0.0,3053.44,2220.21,1.0
h[24],-0.23,0.05,-0.31,-0.15,0.0,0.0,3053.44,2220.21,1.0
h[25],-0.23,0.05,-0.31,-0.15,0.0,0.0,3053.44,2220.21,1.0
h[26],-0.27,0.05,-0.38,-0.18,0.0,0.0,3053.44,2220.21,1.0
h[27],-0.27,0.05,-0.38,-0.18,0.0,0.0,3053.44,2220.21,1.0
h[28],-0.27,0.05,-0.38,-0.18,0.0,0.0,3053.44,2220.21,1.0
