,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
del_t,19.31,8.4,3.23,34.22,0.14,0.11,3895.23,2664.99,1.0
del_f,0.12,0.03,0.06,0.18,0.0,0.0,2007.1,2188.84,1.0
delta_k,5.23,0.93,3.45,6.87,0.02,0.01,3041.31,2554.98,1.0
delta_h,3.97,0.78,2.61,5.53,0.01,0.01,3178.23,2842.62,1.0
z_R,0.19,0.04,0.11,0.27,0.0,0.0,2422.69,2515.18,1.0
mu_R,2.27,0.6,1.13,3.35,0.01,0.01,2919.21,2387.73,1.0
sigma_R,1.52,0.63,0.56,2.67,0.01,0.01,3451.04,2714.7,1.0
z_H,0.14,0.03,0.08,0.19,0.0,0.0,3212.64,2546.77,1.0
mu_H,3.02,1.1,1.03,4.92,0.02,0.02,2641.17,2922.43,1.0
sigma_H,1.73,0.76,0.62,3.08,0.01,0.01,3605.25,2546.74,1.0
z_S,0.15,0.04,0.07,0.22,0.0,0.0,4146.48,2771.93,1.0
tau,1.67,2.04,0.01,4.72,0.04,0.03,3875.23,2442.06,1.0
sigma_model,0.22,0.03,0.16,0.28,0.0,0.0,3500.89,2464.56,1.0
k[0],0.87,0.15,0.57,1.14,0.0,0.0,3041.31,2554.98,1.0
k[1],0.87,0.15,0.57,1.14,0.0,0.0,3041.31,2554.98,1.0
k[2],0.87,0.15,0.57,1.14,0.0,0.0,3041.31,2554.98,1.0
k[3],0.87,0.15,0.57,1.14,0.0,0.0,3041.31,2554.98,1.0
k[4],0.85,0.15,0.56,1.11,0.0,0.0,3041.31,2554.98,1.0
k[5],0.85,0.15,0.56,1.11,0.0,0.0,3041.31,2554.98,1.0
k[6],0.85,0.15,0.56,1.11,0.0,0.0,3041.31,2554.98,1.0
k[7],0.85,0.15,0.56,1.11,0.0,0.0,3041.31,2554.98,1.0
k[8],0.85,0.15,0.56,1.11,0.0,0.0,3041.31,2554.98,1.0
k[9],0.66,0.12,0.44,0.87,0.0,0.0,3041.31,2554.98,1.0
k[10],0.66,0.12,0.44,0.87,0.0,0.0,3041.31,2554.98,1.0
