,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
del_t,19.09,8.61,3.03,35.23,0.15,0.11,3551.11,2687.19,1.0
del_f,0.09,0.03,0.04,0.14,0.0,0.0,1845.42,1920.47,1.0
delta_k,4.73,0.84,3.13,6.22,0.02,0.01,2647.27,2605.14,1.0
delta_h,3.73,0.73,2.44,5.2,0.01,0.01,3294.95,2523.76,1.0
z_R,0.13,0.03,0.06,0.19,0.0,0.0,2341.53,2095.03,1.0
mu_R,2.3,0.62,1.07,3.44,0.01,0.01,3365.94,2122.55,1.0
sigma_R,1.46,0.6,0.56,2.6,0.01,0.01,3666.53,2833.11,1.0
z_H,0.08,0.02,0.04,0.11,0.0,0.0,3228.92,2772.46,1.0
mu_H,2.39,0.97,0.86,4.13,0.02,0.01,3760.6,3228.25,1.0
sigma_H,1.78,0.74,0.62,3.14,0.01,0.01,3602.09,2464.93,1.0
z_ICU,0.08,0.02,0.05,0.11,0.0,0.0,3178.18,2374.08,1.0
mu_ICU,2.36,0.94,0.9,4.07,0.02,0.01,3582.82,2955.1,1.0
sigma_ICU,1.81,0.77,0.61,3.24,0.01,0.01,4507.01,3233.35,1.0
z_S,0.15,0.04,0.08,0.22,0.0,0.0,2966.73,2142.19,1.0
tau,1.66,2.01,0.07,4.72,0.04,0.03,3698.29,2832.11,1.0
sigma_model,0.21,0.03,0.16,0.28,0.0,0.0,2805.28,2495.11,1.0
k[0],0.79,0.14,0.52,1.03,0.0,0.0,2647.27,2605.14,1.0
k[1],0.79,0.14,0.52,1.03,0.0,0.0,2647.27,2605.14,1.0
k[2],0.79,0.14,0.52,1.03,0.0,0.0,2647.27,2605.14,1.0
k[3],0.79,0.14,0.52,1.03,0.0,0.0,2647.27,2605.14,1.0
k[4],0.77,0.14,0.51,1.01,0.0,0.0,2647.27,2605.14,1.0
k[5],0.77,0.14,0.51,1.01,0.0,0.0,2647.27,2605.14,1.0
k[6],0.77,0.14,0.51,1.01,0.0,0.0,2647.27,2605.14,1.0
k[7],0.77,0.14,0.51,1.01,0.0,0.0,2647.27,2605.14,1.0
k[8],0.77,0.14,0.51,1.01,0.0,0.0,2647.27,2605.14,1.0
k[9],0.6,0.11,0.4,0.79,0.0,0.0,2647.27,2605.14,1.0
k[10],0.6,0.11,0.4,0.79,0.0,0.0,2647.27,2605.14,1.0
k[11],0.6,0.11,0.4,0.79,0.0,0.0,2647.27,2605.14,1.0
k[12],0.6,0.11,0.4,0.79,0.0,0.0,2647.27,2605.14,1.0
k[13],0.45,0.08,0.3,0.6,0.0,0.0,2647.27,2605.14,1.0
k[14],0.45,0.08,0.3,0.6,0.0,0.0,2647.27,2605.14,1.0
k[15],0.45,0.08,0.3,0.6,0.0,0.0,2647.27,2605.14,1.0
k[16],0.45,0.08,0.3,0.6,0.0,0.0,2647.27,2605.14,1.0
k[17],0.35,0.06,0.23,0.46,0.0,0.0,2647.27,2605.14,1.0
k[18],0.35,0.06,0.23,0.46,0.0,0.0,2647.27,2605.14,1.0
k[19],0.35,0.06,0.23,0.46,0.0,0.0,2647.27,2605.14,1.0
k[20],0.35,0.06,0.23,0.46,0.0,0.0,2647.27,2605.14,1.0
k[21],0.35,0.06,0.23,0.46,0.0,0.0,2647.27,2605.14,1.0
k[22],0.3,0.05,0.2,0.39,0.0,0.0,2647.27,2605.14,1.0
k[23],0.3,0.05,0.2,0.39,0.0,0.0,2647.27,2605.14,1.0
k[24],0.3,0.05,0.2,0.39,0.0,0.0,2647.27,2605.14,1.0
k[25],0.3,0.05,0.2,0.39,0.0,0.0,2647.27,2605.14,1.0
k[26],0.27,0.05,0.18,0.35,0.0,0.0,2647.27,2605.14,1.0
k[27],0.27,0.05,0.18,0.35,0.0,0.0,2647.27,2605.14,1.0
k[28],0.27,0.05,0.18,0.35,0.0,0.0,2647.27,2605.14,1.0
k[29],0.27,0.05,0.18,0.35,0.0,0.0,2647.27,2605.14,1.0
k[30],0.31,0.06,0.21,0.41,0.0,0.0,2647.27,2605.14,1.0
k[31],0.31,0.06,0.21,0.41,0.0,0.0,2647.27,2605.14,1.0
k[32],0.31,0.06,0.21,0.41,0.0,0.0,2647.27,2605.14,1.0
k[33],0.31,0.06,0.21,0.41,0.0,0.0,2647.27,2605.14,1.0
k[34],0.31,0.06,0.21,0.41,0.0,0.0,2647.27,2605.14,1.0
k[35],0.35,0.06,0.24,0.47,0.0,0.0,2647.27,2605.14,1.0
k[36],0.35,0.06,0.24,0.47,0.0,0.0,2647.27,2605.14,1.0
h[0],0.34,0.07,0.22,0.47,0.0,0.0,3294.95,2523.76,1.0
h[1],0.34,0.07,0.22,0.47,0.0,0.0,3294.95,2523.76,1.0
h[2],0.34,0.07,0.22,0.47,0.0,0.0,3294.95,2523.76,1.0
h[3],0.34,0.07,0.22,0.47,0.0,0.0,3294.95,2523.76,1.0
h[4],0.27,0.05,0.18,0.37,0.0,0.0,3294.95,2523.76,1.0
h[5],0.27,0.05,0.18,0.37,0.0,0.0,3294.95,2523.76,1.0
