,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
del_t,19.27,8.49,3.65,34.61,0.14,0.11,3929.42,2632.54,1.0
del_f,0.12,0.03,0.06,0.18,0.0,0.0,2694.56,2681.88,1.0
delta_k,4.8,0.85,3.31,6.44,0.01,0.01,3288.34,3168.39,1.0
delta_h,3.78,0.74,2.4,5.14,0.01,0.01,3944.62,3012.62,1.0
z_R,0.2,0.05,0.12,0.29,0.0,0.0,3132.72,2749.03,1.0
mu_R,2.39,0.59,1.23,3.43,0.01,0.01,2089.84,2266.38,1.0
sigma_R,1.51,0.61,0.56,2.68,0.01,0.01,3674.62,2963.71,1.0
z_ICU,0.13,0.03,0.08,0.18,0.0,0.0,3697.19,3004.87,1.0
mu_ICU,2.27,0.77,0.91,3.67,0.01,0.01,3382.27,2380.75,1.0
sigma_ICU,1.86,0.82,0.61,3.31,0.01,0.01,3876.81,2475.16,1.0
z_S,0.15,0.04,0.08,0.22,0.0,0.0,3639.81,2582.77,1.0
tau,1.68,2.2,0.03,4.6,0.04,0.03,4221.22,2569.0,1.0
sigma_model,0.21,0.03,0.15,0.26,0.0,0.0,3226.89,2813.86,1.0
k[0],0.8,0.14,0.55,1.07,0.0,0.0,3288.34,3168.39,1.0
k[1],0.8,0.14,0.55,1.07,0.0,0.0,3288.34,3168.39,1.0
k[2],0.8,0.14,0.55,1.07,0.0,0.0,3288.34,3168.39,1.0
k[3],0.8,0.14,0.55,1.07,0.0,0.0,3288.34,3168.39,1.0
k[4],0.78,0.14,0.54,1.04,0.0,0.0,3288.34,3168.39,1.0
k[5],0.78,0.14,0.54,1.04,0.0,0.0,3288.34,3168.39,1.0
k[6],0.78,0.14,0.54,1.04,0.0,0.0,3288.34,3168.39,1.0
k[7],0.78,0.14,0.54,1.04,0.0,0.0,3288.34,3168.39,1.0
k[8],0.78,0.14,0.54,1.04,0.0,0.0,3288.34,3168.39,1.0
k[9],0.61,0.11,0.42,0.82,0.0,0.0,3288.34,3168.39,1.0
k[10],0.61,0.11,0.42,0.82,0.0,0.0,3288.34,3168.39,1.0
k[11],0.61,0.11,0.42,0.82,0.0,0.0,3288.34,3168.39,1.0
k[12],0.61,0.11,0.42,0.82,0.0,0.0,3288.34,3168.39,1.0
k[13],0.46,0.08,0.32,0.62,0.0,0.0,3288.34,3168.39,1.0
k[14],0.46,0.08,0.32,0.62,0.0,0.0,3288.34,3168.39,1.0
k[15],0.46,0.08,0.32,0.62,0.0,0.0,3288.34,3168.39,1.0
k[16],0.46,0.08,0.32,0.62,0.0,0.0,3288.34,3168.39,1.0
k[17],0.36,0.06,0.24,0.48,0.0,0.0,3288.34,3168.39,1.0
k[18],0.36,0.06,0.24,0.48,0.0,0.0,3288.34,3168.39,1.0
k[19],0.36,0.06,0.24,0.48,0.0,0.0,3288.34,3168.39,1.0
k[20],0.36,0.06,0.24,0.48,0.0,0.0,3288.34,3168.39,1.0
k[21],0.36,0.06,0.24,0.48,0.0,0.0,3288.34,3168.39,1.0
k[22],0.3,0.05,0.21,0.41,0.0,0.0,3288.34,3168.39,1.0
k[23],0.3,0.05,0.21,0.41,0.0,0.0,3288.34,3168.39,1.0
k[24],0.3,0.05,0.21,0.41,0.0,0.0,3288.34,3168.39,1.0
k[25],0.3,0.05,0.21,0.41,0.0,0.0,3288.34,3168.39,1.0
k[26],0.27,0.05,0.19,0.36,0.0,0.0,3288.34,3168.39,1.0
k[27],0.27,0.05,0.19,0.36,0.0,0.0,3288.34,3168.39,1.0
k[28],0.27,0.05,0.19,0.36,0.0,0.0,3288.34,3168.39,1.0
k[29],0.27,0.05,0.19,0.36,0.0,0.0,3288.34,3168.39,1.0
k[30],0.32,0.06,0.22,0.42,0.0,0.0,3288.34,3168.39,1.0
k[31],0.32,0.06,0.22,0.42,0.0,0.0,3288.34,3168.39,1.0
k[32],0.32,0.06,0.22,0.42,0.0,0.0,3288.34,3168.39,1.0
k[33],0.32,0.06,0.22,0.42,0.0,0.0,3288.34,3168.39,1.0
k[34],0.32,0.06,0.22,0.42,0.0,0.0,3288.34,3168.39,1.0
k[35],0.36,0.06,0.25,0.48,0.0,0.0,3288.34,3168.39,1.0
k[36],0.36,0.06,0.25,0.48,0.0,0.0,3288.34,3168.39,1.0
h[0],0.34,0.07,0.22,0.47,0.0,0.0,3944.62,3012.62,1.0
h[1],0.34,0.07,0.22,0.47,0.0,0.0,3944.62,3012.62,1.0
h[2],0.34,0.07,0.22,0.47,0.0,0.0,3944.62,3012.62,1.0
h[3],0.34,0.07,0.22,0.47,0.0,0.0,3944.62,3012.62,1.0
h[4],0.27,0.05,0.17,0.37,0.0,0.0,3944.62,3012.62,1.0
h[5],0.27,0.05,0.17,0.37,0.0,0.0,3944.62,3012.62,1.0
h[6],0.27,0.05,0.17,0.37,0.0,0.0,3944.62,3012.62,1.0
h[7],0.27,0.05,0.17,0.37,0.0,0.0,3944.62,3012.62,1.0
h[8],0.27,0.05,0.17,0.37,0.0,0.0,3944.62,3012.62,1.0
h[9],0.01,0.0,0.01,0.02,0.0,0.0,3944.62,3012.62,1.0
h[10],0.01,0.0,0.01,0.02,0.0,0.0,3944.62,3012.62,1.0
h[11],0.01,0.0,0.01,0.02,0.0,0.0,3944.62,3012.62,1.0
h[12],0.01,0.0,0.01,0.02,0.0,0.0,3944.62,3012.62,1.0
h[13],-0.17,0.03,-0.24,-0.11,0.0,0.0,3944.62,3012.62,1.0
h[14],-0.17,0.03,-0.24,-0.11,0.0,0.0,3944.62,3012.62,1.0
h[15],-0.17,0.03,-0.24,-0.11,0.0,0.0,3944.62,3012.62,1.0
h[16],-0.17,0.03,-0.24,-0.11,0.0,0.0,3944.62,3012.62,1.0
h[17],-0.06,0.01,-0.08,-0.04,0.0,0.0,3944.62,3012.62,1.0
h[18],-0.06,0.01,-0.08,-0.04,0.0,0.0,3944.62,3012.62,1.0
h[19],-0.06,0.01,-0.08,-0.04,0.0,0.0,3944.62,3012.62,1.0
h[20],-0.06,0.01,-0.08,-0.04,0.0,0.0,3944.62,3012.62,1.0
h[21],-0.06,0.01,-0.08,-0.04,0.0,0.0,3944.62,3012.62,1.0
