,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
del_t,18.63,8.83,1.76,34.21,0.3,0.22,838.86,540.79,1.0
del_f,0.04,0.02,0.01,0.08,0.0,0.0,579.12,566.89,1.0
delta_k,5.26,0.87,3.65,6.83,0.04,0.03,607.73,620.35,1.01
delta_h,4.01,0.76,2.64,5.47,0.03,0.02,652.13,670.2,1.0
z_C,0.17,0.03,0.11,0.23,0.0,0.0,649.51,507.99,1.0
mu_C,2.23,1.11,0.67,4.05,0.05,0.04,735.1,460.44,1.0
sigma_C,2.22,0.98,0.78,4.05,0.04,0.03,743.19,535.89,1.01
z_S,0.16,0.04,0.09,0.25,0.0,0.0,997.11,622.24,1.0
tau,1.68,1.92,0.03,5.29,0.07,0.05,750.34,580.55,1.0
sigma_model,0.23,0.03,0.17,0.3,0.0,0.0,821.63,590.84,1.0
k[0],0.87,0.15,0.61,1.13,0.01,0.0,607.73,620.35,1.01
k[1],0.87,0.15,0.61,1.13,0.01,0.0,607.73,620.35,1.01
k[2],0.87,0.15,0.61,1.13,0.01,0.0,607.73,620.35,1.01
k[3],0.87,0.15,0.61,1.13,0.01,0.0,607.73,620.35,1.01
k[4],0.85,0.14,0.59,1.11,0.01,0.0,607.73,620.35,1.01
k[5],0.85,0.14,0.59,1.11,0.01,0.0,607.73,620.35,1.01
k[6],0.85,0.14,0.59,1.11,0.01,0.0,607.73,620.35,1.01
k[7],0.85,0.14,0.59,1.11,0.01,0.0,607.73,620.35,1.01
k[8],0.85,0.14,0.59,1.11,0.01,0.0,607.73,620.35,1.01
k[9],0.67,0.11,0.46,0.87,0.0,0.0,607.73,620.35,1.01
k[10],0.67,0.11,0.46,0.87,0.0,0.0,607.73,620.35,1.01
k[11],0.67,0.11,0.46,0.87,0.0,0.0,607.73,620.35,1.01
k[12],0.67,0.11,0.46,0.87,0.0,0.0,607.73,620.35,1.01
k[13],0.5,0.08,0.35,0.66,0.0,0.0,607.73,620.35,1.01
k[14],0.5,0.08,0.35,0.66,0.0,0.0,607.73,620.35,1.01
k[15],0.5,0.08,0.35,0.66,0.0,0.0,607.73,620.35,1.01
k[16],0.5,0.08,0.35,0.66,0.0,0.0,607.73,620.35,1.01
k[17],0.39,0.06,0.27,0.51,0.0,0.0,607.73,620.35,1.01
k[18],0.39,0.06,0.27,0.51,0.0,0.0,607.73,620.35,1.01
k[19],0.39,0.06,0.27,0.51,0.0,0.0,607.73,620.35,1.01
k[20],0.39,0.06,0.27,0.51,0.0,0.0,607.73,620.35,1.01
k[21],0.39,0.06,0.27,0.51,0.0,0.0,607.73,620.35,1.01
k[22],0.33,0.06,0.23,0.43,0.0,0.0,607.73,620.35,1.01
k[23],0.33,0.06,0.23,0.43,0.0,0.0,607.73,620.35,1.01
k[24],0.33,0.06,0.23,0.43,0.0,0.0,607.73,620.35,1.01
k[25],0.33,0.06,0.23,0.43,0.0,0.0,607.73,620.35,1.01
k[26],0.29,0.05,0.2,0.38,0.0,0.0,607.73,620.35,1.01
k[27],0.29,0.05,0.2,0.38,0.0,0.0,607.73,620.35,1.01
k[28],0.29,0.05,0.2,0.38,0.0,0.0,607.73,620.35,1.01
k[29],0.29,0.05,0.2,0.38,0.0,0.0,607.73,620.35,1.01
k[30],0.35,0.06,0.24,0.45,0.0,0.0,607.73,620.35,1.01
k[31],0.35,0.06,0.24,0.45,0.0,0.0,607.73,620.35,1.01
k[32],0.35,0.06,0.24,0.45,0.0,0.0,607.73,620.35,1.01
k[33],0.35,0.06,0.24,0.45,0.0,0.0,607.73,620.35,1.01
k[34],0.35,0.06,0.24,0.45,0.0,0.0,607.73,620.35,1.01
k[35],0.39,0.07,0.27,0.51,0.0,0.0,607.73,620.35,1.01
k[36],0.39,0.07,0.27,0.51,0.0,0.0,607.73,620.35,1.01
h[0],0.37,0.07,0.24,0.5,0.0,0.0,652.13,670.2,1.0
h[1],0.37,0.07,0.24,0.5,0.0,0.0,652.13,670.2,1.0
h[2],0.37,0.07,0.24,0.5,0.0,0.0,652.13,670.2,1.0
h[3],0.37,0.07,0.24,0.5,0.0,0.0,652.13,670.2,1.0
h[4],0.29,0.05,0.19,0.39,0.0,0.0,652.13,670.2,1.0
h[5],0.29,0.05,0.19,0.39,0.0,0.0,652.13,670.2,1.0
h[6],0.29,0.05,0.19,0.39,0.0,0.0,652.13,670.2,1.0
h[7],0.29,0.05,0.19,0.39,0.0,0.0,652.13,670.2,1.0
h[8],0.29,0.05,0.19,0.39,0.0,0.0,652.13,670.2,1.0
h[9],0.01,0.0,0.01,0.02,0.0,0.0,652.13,670.2,1.0
h[10],0.01,0.0,0.01,0.02,0.0,0.0,652.13,670.2,1.0
h[11],0.01,0.0,0.01,0.02,0.0,0.0,652.13,670.2,1.0
h[12],0.01,0.0,0.01,0.02,0.0,0.0,652.13,670.2,1.0
h[13],-0.18,0.03,-0.25,-0.12,0.0,0.0,652.13,670.2,1.0
h[14],-0.18,0.03,-0.25,-0.12,0.0,0.0,652.13,670.2,1.0
h[15],-0.18,0.03,-0.25,-0.12,0.0,0.0,652.13,670.2,1.0
h[16],-0.18,0.03,-0.25,-0.12,0.0,0.0,652.13,670.2,1.0
h[17],-0.06,0.01,-0.08,-0.04,0.0,0.0,652.13,670.2,1.0
h[18],-0.06,0.01,-0.08,-0.04,0.0,0.0,652.13,670.2,1.0
h[19],-0.06,0.01,-0.08,-0.04,0.0,0.0,652.13,670.2,1.0
h[20],-0.06,0.01,-0.08,-0.04,0.0,0.0,652.13,670.2,1.0
h[21],-0.06,0.01,-0.08,-0.04,0.0,0.0,652.13,670.2,1.0
h[22],-0.23,0.04,-0.31,-0.15,0.0,0.0,652.13,670.2,1.0
h[23],-0.23,0.04,-0.31,-0.15,0.0,0.0,652.13,670.2,1.0
h[24],-0.23,0.04,-0.31,-0.15,0.0,0.0,652.13,670.2,1.0
h[25],-0.23,0.04,-0.31,-0.15,0.0,0.0,652.13,670.2,1.0
h[26],-0.27,0.05,-0.37,-0.18,0.0,0.0,652.13,670.2,1.0
h[27],-0.27,0.05,-0.37,-0.18,0.0,0.0,652.13,670.2,1.0
h[28],-0.27,0.05,-0.37,-0.18,0.0,0.0,652.13,670.2,1.0
h[29],-0.27,0.05,-0.37,-0.18,0.0,0.0,652.13,670.2,1.0
h[30],-0.12,0.02,-0.16,-0.08,0.0,0.0,652.13,670.2,1.0
h[31],-0.12,0.02,-0.16,-0.08,0.0,0.0,652.13,670.2,1.0
h[32],-0.12,0.02,-0.16,-0.08,0.0,0.0,652.13,670.2,1.0
h[33],-0.12,0.02,-0.16,-0.08,0.0,0.0,652.13,670.2,1.0
h[34],-0.12,0.02,-0.16,-0.08,0.0,0.0,652.13,670.2,1.0
h[35],-0.04,0.01,-0.05,-0.03,0.0,0.0,652.13,670.2,1.0
h[36],-0.04,0.01,-0.05,-0.03,0.0,0.0,652.13,670.2,1.0
o_*[0],6.23,0.12,6.0,6.44,0.0,0.0,790.21,577.17,1.0
o_*[1],5.8,0.12,5.57,6.01,0.0,0.0,790.21,577.17,1.0
o_*[2],5.84,0.12,5.61,6.05,0.0,0.0,790.21,577.17,1.0
o_*[3],6.47,0.12,6.24,6.68,0.0,0.0,790.21,577.17,1.0
o_*[4],6.59,0.12,6.35,6.79,0.0,0.0,741.92,583.0,1.0
o_*[5],6.89,0.12,6.65,7.09,0.0,0.0,741.92,583.0,1.0
o_*[6],6.81,0.12,6.57,7.01,0.0,0.0,741.92,583.0,1.0
o_*[7],6.4,0.12,6.16,6.6,0.0,0.0,741.92,583.0,1.0
o_*[8],6.91,0.12,6.67,7.11,0.0,0.0,741.92,583.0,1.0
o_*[9],6.99,0.11,6.79,7.19,0.0,0.0,613.19,620.35,1.01
o_*[10],7.15,0.11,6.95,7.35,0.0,0.0,613.19,620.35,1.01
o_*[11],7.42,0.11,7.22,7.62,0.0,0.0,613.19,620.35,1.01
o_*[12],7.35,0.11,7.15,7.55,0.0,0.0,613.19,620.35,1.01
o_*[13],7.64,0.11,7.44,7.83,0.0,0.0,571.51,584.11,1.01
o_*[14],7.62,0.11,7.42,7.81,0.0,0.0,571.51,584.11,1.01
o_*[15],7.57,0.11,7.37,7.76,0.0,0.0,571.51,584.11,1.01
o_*[16],7.47,0.11,7.27,7.66,0.0,0.0,571.51,584.11,1.01
o_*[17],7.54,0.07,7.41,7.67,0.0,0.0,572.8,597.28,1.01
