,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,4.19,1.16,2.67,5.93,0.5,0.39,7.48,30.14,1.53
delta_h,7.13,7.31,1.99,19.73,3.57,2.73,6.97,16.47,1.61
z_C,0.72,0.66,0.3,1.86,0.32,0.25,7.17,13.0,1.61
mu_C,2.73,2.87,0.18,7.51,1.36,1.07,7.45,27.45,1.55
sigma_C,1.08,0.49,0.54,1.94,0.14,0.1,9.0,75.05,1.39
z_S,0.29,0.25,0.1,0.72,0.12,0.09,7.06,19.98,1.59
f0,0.03,0.04,0.0,0.1,0.02,0.02,7.34,20.96,1.55
r,0.11,0.18,0.0,0.43,0.09,0.07,7.13,12.13,1.58
sigma_model,0.28,0.07,0.19,0.38,0.03,0.02,7.33,18.58,1.55
o_*[0],6.13,0.84,4.69,6.77,0.41,0.31,7.1,13.38,1.58
o_*[1],5.7,0.84,4.26,6.34,0.41,0.31,7.1,13.38,1.58
o_*[2],5.74,0.84,4.3,6.38,0.41,0.31,7.1,13.38,1.58
o_*[3],6.37,0.84,4.93,7.01,0.41,0.31,7.1,13.38,1.58
o_*[4],6.54,0.69,5.35,7.09,0.34,0.26,7.14,13.27,1.58
o_*[5],6.84,0.69,5.65,7.39,0.34,0.26,7.14,13.27,1.58
o_*[6],6.76,0.69,5.57,7.31,0.34,0.26,7.14,13.27,1.58
o_*[7],6.35,0.69,5.16,6.9,0.34,0.26,7.14,13.27,1.58
o_*[8],6.86,0.69,5.67,7.41,0.34,0.26,7.14,13.27,1.58
o_*[9],7.12,0.17,6.86,7.32,0.07,0.06,7.5,30.54,1.53
o_*[10],7.28,0.17,7.02,7.48,0.07,0.06,7.5,30.54,1.53
o_*[11],7.55,0.17,7.29,7.75,0.07,0.06,7.5,30.54,1.53
o_*[12],7.48,0.17,7.22,7.68,0.07,0.06,7.5,30.54,1.53
o_*[13],7.89,0.25,7.64,8.3,0.12,0.09,7.12,14.0,1.59
o_*[14],7.87,0.25,7.62,8.28,0.12,0.09,7.12,14.0,1.59
o_*[15],7.82,0.25,7.57,8.23,0.12,0.09,7.12,14.0,1.59
o_*[16],7.72,0.25,7.47,8.13,0.12,0.09,7.12,14.0,1.59
o_*[17],7.67,0.06,7.56,7.74,0.02,0.01,12.37,441.03,1.27
o_*[18],7.73,0.06,7.62,7.8,0.02,0.01,12.37,441.03,1.27
o_*[19],7.45,0.06,7.34,7.52,0.02,0.01,12.37,441.03,1.27
o_*[20],7.84,0.06,7.73,7.91,0.02,0.01,12.37,441.03,1.27
o_*[21],8.01,0.06,7.9,8.08,0.02,0.01,12.37,441.03,1.27
o_*[22],8.07,0.35,7.79,8.67,0.17,0.13,7.08,15.2,1.6
o_*[23],8.18,0.35,7.9,8.78,0.17,0.13,7.08,15.2,1.6
o_*[24],8.2,0.35,7.92,8.8,0.17,0.13,7.08,15.2,1.6
o_*[25],8.31,0.35,8.03,8.91,0.17,0.13,7.08,15.2,1.6
o_*[26],8.15,0.44,7.81,8.92,0.22,0.17,7.04,15.2,1.6
o_*[27],8.09,0.44,7.75,8.86,0.22,0.17,7.04,15.2,1.6
o_*[28],7.86,0.44,7.52,8.63,0.22,0.17,7.04,15.2,1.6
o_*[29],8.01,0.44,7.67,8.78,0.22,0.17,7.04,15.2,1.6
o_*[30],7.35,0.16,7.19,7.61,0.07,0.06,7.12,14.29,1.59
o_*[31],7.48,0.16,7.32,7.74,0.07,0.06,7.12,14.29,1.59
o_*[32],7.57,0.16,7.41,7.83,0.07,0.06,7.12,14.29,1.59
o_*[33],7.47,0.16,7.31,7.73,0.07,0.06,7.12,14.29,1.59
o_*[34],7.42,0.16,7.26,7.68,0.07,0.06,7.12,14.29,1.59
o_*[35],7.21,0.04,7.12,7.3,0.0,0.0,463.17,414.39,1.54
o_*[36],7.14,0.04,7.05,7.23,0.0,0.0,463.17,414.39,1.54
risk_C[0],0.41,0.02,0.38,0.45,0.01,0.01,12.84,538.54,1.23
risk_C[1],0.47,0.02,0.44,0.52,0.0,0.0,513.42,622.95,1.52
risk_C[2],0.51,0.02,0.48,0.53,0.01,0.0,9.12,456.28,1.4
risk_C[3],0.5,0.02,0.47,0.53,0.01,0.01,8.09,377.41,1.54
risk_C[4],0.46,0.01,0.44,0.48,0.0,0.0,13.05,617.5,1.23
risk_C[5],0.43,0.01,0.4,0.45,0.0,0.0,576.46,597.53,1.53
risk_C[6],0.4,0.01,0.37,0.41,0.0,0.0,411.97,597.53,1.52
risk_C[7],0.38,0.01,0.37,0.4,0.0,0.0,22.49,520.39,1.14
risk_C[8],0.37,0.01,0.36,0.39,0.0,0.0,84.88,534.42,1.1
risk_C[9],0.36,0.01,0.35,0.38,0.0,0.0,113.89,433.44,1.12
risk_C[10],0.36,0.01,0.35,0.37,0.0,0.0,35.94,386.38,1.1
risk_C[11],0.35,0.01,0.34,0.36,0.0,0.0,302.2,385.96,1.53
risk_C[12],0.35,0.01,0.34,0.36,0.0,0.0,7.99,342.39,1.54
risk_C[13],0.35,0.0,0.35,0.36,0.0,0.0,8.28,4.22,1.5
risk_C[14],0.35,0.0,0.35,0.36,0.0,0.0,57.95,348.1,1.08
risk_C[15],0.35,0.0,0.35,0.35,0.0,0.0,379.73,348.1,1.53
risk_C[16],0.35,0.0,0.35,0.35,0.0,0.0,34.83,348.1,1.11
risk_C[17],0.35,0.0,0.35,0.35,0.0,0.0,7.93,4.17,1.54
risk_C[18],0.35,0.0,0.35,0.35,0.0,0.0,13.72,348.1,1.23
