,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,6.05,4.3,2.72,13.43,2.09,1.61,7.55,694.66,1.52
delta_h,4.32,2.55,2.05,8.64,1.22,0.95,7.6,626.69,1.53
z_C,0.58,0.41,0.3,1.28,0.2,0.15,7.6,596.42,1.53
mu_C,2.81,2.88,0.2,7.53,1.34,1.06,7.49,352.04,1.53
sigma_C,1.11,0.56,0.49,2.11,0.17,0.13,8.14,4.24,1.48
z_S,0.43,0.49,0.09,1.28,0.24,0.18,7.49,4.17,1.54
f0,0.05,0.07,0.0,0.17,0.03,0.03,7.59,400.19,1.53
r,0.11,0.18,0.0,0.42,0.09,0.07,7.65,451.38,1.52
sigma_model,0.3,0.05,0.21,0.4,0.0,0.0,490.58,436.02,1.53
o_*[0],6.07,0.94,4.46,6.77,0.46,0.35,7.59,4.17,1.53
o_*[1],5.64,0.94,4.03,6.34,0.46,0.35,7.59,4.17,1.53
o_*[2],5.68,0.94,4.07,6.38,0.46,0.35,7.59,4.17,1.53
o_*[3],6.31,0.94,4.7,7.01,0.46,0.35,7.59,4.17,1.53
o_*[4],6.44,0.88,4.93,7.1,0.43,0.33,7.59,4.17,1.53
o_*[5],6.74,0.88,5.23,7.4,0.43,0.33,7.59,4.17,1.53
o_*[6],6.66,0.88,5.15,7.32,0.43,0.33,7.59,4.17,1.53
o_*[7],6.25,0.88,4.74,6.91,0.43,0.33,7.59,4.17,1.53
o_*[8],6.76,0.88,5.25,7.42,0.43,0.33,7.59,4.17,1.53
o_*[9],6.89,0.55,5.94,7.32,0.27,0.21,7.56,4.17,1.52
o_*[10],7.05,0.55,6.1,7.48,0.27,0.21,7.56,4.17,1.52
o_*[11],7.32,0.55,6.37,7.75,0.27,0.21,7.56,4.17,1.52
o_*[12],7.25,0.55,6.3,7.68,0.27,0.21,7.56,4.17,1.52
o_*[13],7.58,0.3,7.07,7.84,0.14,0.11,7.53,4.17,1.53
o_*[14],7.56,0.3,7.05,7.82,0.14,0.11,7.53,4.17,1.53
o_*[15],7.51,0.3,7.0,7.77,0.14,0.11,7.53,4.17,1.53
o_*[16],7.41,0.3,6.9,7.67,0.14,0.11,7.53,4.17,1.53
o_*[17],7.49,0.28,7.01,7.72,0.14,0.1,7.49,4.17,1.52
o_*[18],7.55,0.28,7.07,7.78,0.14,0.1,7.49,4.17,1.52
o_*[19],7.27,0.28,6.79,7.5,0.14,0.1,7.49,4.17,1.52
o_*[20],7.66,0.28,7.18,7.89,0.14,0.1,7.49,4.17,1.52
o_*[21],7.83,0.28,7.35,8.06,0.14,0.1,7.49,4.17,1.52
o_*[22],7.79,0.14,7.57,7.95,0.06,0.05,7.57,4.17,1.53
o_*[23],7.9,0.14,7.68,8.06,0.06,0.05,7.57,4.17,1.53
o_*[24],7.92,0.14,7.7,8.08,0.06,0.05,7.57,4.17,1.53
o_*[25],8.03,0.14,7.81,8.19,0.06,0.05,7.57,4.17,1.53
o_*[26],7.86,0.08,7.74,7.98,0.03,0.03,7.94,4.22,1.49
o_*[27],7.8,0.08,7.68,7.92,0.03,0.03,7.94,4.22,1.49
o_*[28],7.57,0.08,7.45,7.69,0.03,0.03,7.94,4.22,1.49
o_*[29],7.72,0.08,7.6,7.84,0.03,0.03,7.94,4.22,1.49
o_*[30],7.14,0.21,6.78,7.32,0.1,0.08,7.53,4.17,1.53
o_*[31],7.27,0.21,6.91,7.45,0.1,0.08,7.53,4.17,1.53
o_*[32],7.36,0.21,7.0,7.54,0.1,0.08,7.53,4.17,1.53
o_*[33],7.26,0.21,6.9,7.44,0.1,0.08,7.53,4.17,1.53
o_*[34],7.21,0.21,6.85,7.39,0.1,0.08,7.53,4.17,1.53
o_*[35],7.04,0.3,6.53,7.28,0.14,0.11,7.51,4.17,1.52
o_*[36],6.97,0.3,6.46,7.21,0.14,0.11,7.51,4.17,1.52
risk_C[0],0.31,0.18,0.0,0.44,0.09,0.07,7.69,4.17,1.54
risk_C[1],0.35,0.2,0.0,0.5,0.1,0.08,7.77,4.17,1.54
risk_C[2],0.37,0.22,0.0,0.52,0.11,0.08,7.71,4.17,1.54
risk_C[3],0.36,0.21,0.0,0.5,0.1,0.08,7.6,4.17,1.53
risk_C[4],0.34,0.2,0.0,0.48,0.1,0.07,7.45,4.17,1.53
risk_C[5],0.32,0.19,0.0,0.45,0.09,0.07,7.7,4.17,1.53
risk_C[6],0.3,0.18,0.0,0.42,0.09,0.07,7.76,4.17,1.53
risk_C[7],0.29,0.17,0.0,0.4,0.08,0.06,7.77,4.17,1.53
risk_C[8],0.28,0.16,0.0,0.39,0.08,0.06,7.75,4.17,1.53
risk_C[9],0.27,0.16,0.0,0.38,0.08,0.06,7.68,4.17,1.53
risk_C[10],0.27,0.16,0.0,0.37,0.08,0.06,7.69,4.17,1.53
risk_C[11],0.26,0.15,0.0,0.36,0.07,0.06,7.71,4.17,1.53
risk_C[12],0.26,0.15,0.0,0.36,0.07,0.06,7.69,4.17,1.53
risk_C[13],0.26,0.15,0.0,0.36,0.07,0.06,7.65,4.17,1.53
