,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,4.02,0.79,2.51,5.41,0.06,0.04,167.84,211.88,1.03
delta_h,4.09,0.84,2.33,5.65,0.06,0.05,175.82,142.76,1.11
z_R,0.49,0.1,0.31,0.63,0.02,0.01,36.18,20.82,1.1
mu_R,1.02,0.94,0.14,2.66,0.18,0.13,24.36,48.03,1.13
sigma_R,1.39,0.42,0.62,2.14,0.03,0.02,126.11,379.88,1.09
z_S,0.2,0.06,0.1,0.31,0.01,0.01,19.52,131.59,1.15
f0,0.09,0.06,0.0,0.18,0.01,0.01,38.94,20.2,1.09
r,0.01,0.0,0.0,0.01,0.0,0.0,562.76,308.59,1.01
sigma_model,0.38,0.06,0.3,0.51,0.01,0.01,50.2,93.54,1.08
o_*[0],6.43,0.15,6.15,6.7,0.01,0.01,130.37,213.35,1.03
o_*[1],6.0,0.15,5.72,6.27,0.01,0.01,130.37,213.35,1.03
o_*[2],6.04,0.15,5.76,6.31,0.01,0.01,130.37,213.35,1.03
o_*[3],6.67,0.15,6.39,6.94,0.01,0.01,130.37,213.35,1.03
o_*[4],6.78,0.14,6.52,7.04,0.01,0.01,133.64,207.21,1.03
o_*[5],7.08,0.14,6.82,7.34,0.01,0.01,133.64,207.21,1.03
o_*[6],7.0,0.14,6.74,7.26,0.01,0.01,133.64,207.21,1.03
o_*[7],6.59,0.14,6.33,6.85,0.01,0.01,133.64,207.21,1.03
o_*[8],7.1,0.14,6.84,7.36,0.01,0.01,133.64,207.21,1.03
o_*[9],7.15,0.1,6.97,7.34,0.01,0.01,165.59,211.88,1.04
o_*[10],7.31,0.1,7.13,7.5,0.01,0.01,165.59,211.88,1.04
o_*[11],7.58,0.1,7.4,7.77,0.01,0.01,165.59,211.88,1.04
o_*[12],7.51,0.1,7.33,7.7,0.01,0.01,165.59,211.88,1.04
o_*[13],7.76,0.09,7.6,7.93,0.01,0.0,200.6,159.48,1.03
o_*[14],7.74,0.09,7.58,7.91,0.01,0.0,200.6,159.48,1.03
o_*[15],7.69,0.09,7.53,7.86,0.01,0.0,200.6,159.48,1.03
o_*[16],7.59,0.09,7.43,7.76,0.01,0.0,200.6,159.48,1.03
o_*[17],7.63,0.06,7.53,7.76,0.0,0.0,182.15,275.39,1.04
o_*[18],7.69,0.06,7.59,7.82,0.0,0.0,182.15,275.39,1.04
o_*[19],7.41,0.06,7.31,7.54,0.0,0.0,182.15,275.39,1.04
o_*[20],7.8,0.06,7.7,7.93,0.0,0.0,182.15,275.39,1.04
o_*[21],7.97,0.06,7.87,8.1,0.0,0.0,182.15,275.39,1.04
o_*[22],7.91,0.07,7.77,8.04,0.0,0.0,224.29,139.03,1.05
o_*[23],8.02,0.07,7.88,8.15,0.0,0.0,224.29,139.03,1.05
o_*[24],8.04,0.07,7.9,8.17,0.0,0.0,224.29,139.03,1.05
o_*[25],8.15,0.07,8.01,8.28,0.0,0.0,224.29,139.03,1.05
o_*[26],7.95,0.07,7.81,8.1,0.0,0.0,229.41,152.21,1.05
o_*[27],7.89,0.07,7.75,8.04,0.0,0.0,229.41,152.21,1.05
o_*[28],7.66,0.07,7.52,7.81,0.0,0.0,229.41,152.21,1.05
o_*[29],7.81,0.07,7.67,7.96,0.0,0.0,229.41,152.21,1.05
o_*[30],7.27,0.06,7.16,7.38,0.0,0.0,199.39,159.48,1.04
o_*[31],7.4,0.06,7.29,7.51,0.0,0.0,199.39,159.48,1.04
o_*[32],7.49,0.06,7.38,7.6,0.0,0.0,199.39,159.48,1.04
o_*[33],7.39,0.06,7.28,7.5,0.0,0.0,199.39,159.48,1.04
o_*[34],7.34,0.06,7.23,7.45,0.0,0.0,199.39,159.48,1.04
o_*[35],7.19,0.06,7.08,7.3,0.0,0.0,178.96,236.08,1.04
o_*[36],7.12,0.06,7.01,7.23,0.0,0.0,178.96,236.08,1.04
risk_R[0],0.58,0.07,0.49,0.76,0.01,0.0,112.92,295.82,1.07
risk_R[1],0.49,0.04,0.39,0.55,0.0,0.0,203.5,415.66,1.07
risk_R[2],0.42,0.03,0.34,0.45,0.0,0.0,78.69,368.74,1.05
